institution,n_site_zips_for_inst,covered_population,covered_population_M,covered_population_share_%
Local Institution - 0008,1,1497696.0,1.497696,0.4476209507571496
SCRI Oncology Partners,1,1497696.0,1.497696,0.4476209507571496
Tennessee Oncology,1,1497696.0,1.497696,0.4476209507571496
Sarah Cannon - HCA Research Institute,1,1497696.0,1.497696,0.4476209507571496
Sarah Cannon Research Insitute,1,1497696.0,1.497696,0.4476209507571496
Sarah Cannon Research Institute,1,1497696.0,1.497696,0.4476209507571496
Sarah Cannon Research Institute (SCRI) - Oncology Partners,1,1497696.0,1.497696,0.4476209507571496
Mayo Clinic Florida,1,1495931.0,1.495931,0.44709343984833605
Mayo Clinic in Florida,1,1495931.0,1.495931,0.44709343984833605
University of Oklahoma,1,1363834.0,1.363834,0.4076132083913734
OU Health Stephenson Cancer Center,1,1363834.0,1.363834,0.4076132083913734
University of Louisville Brown Cancer Center,1,1291409.0,1.291409,0.3859673287478499
University of Louisville Health,1,1291409.0,1.291409,0.3859673287478499
University of Louisville Health Brown Cancer Center,1,1291409.0,1.291409,0.3859673287478499
Virginia Commonwealth University (VCU),1,1281709.0,1.281709,0.3830682602971467
Norton Women's and Children's Hospital,1,1280932.0,1.280932,0.38283603594805427
Norton Cancer Institute,1,1280932.0,1.280932,0.38283603594805427
Virginia Commonwealth University,1,1272828.0,1.272828,0.3804139688630544
Baptist Cancer Center,1,1246614.0,1.246614,0.3725793110932881
St. Jude Children's Research Hospital,1,1232446.0,1.232446,0.36834487791704457
St Jude Children's Research Hospital,1,1232446.0,1.232446,0.36834487791704457
Roswell Park Cancer Institute,1,1182777.0,1.182777,0.35350015308426347
Roswell Park,1,1182777.0,1.182777,0.35350015308426347
Prisma Health - Upstate Cancer Institute,1,1174770.0,1.17477,0.35110707668377067
Novant Health Cancer Institute Hematology- Forsyth,1,1152636.0,1.152636,0.34449182090151664
Corewell Health,1,1133018.0,1.133018,0.3386285296782285
Corewell Health - Lemmen-Holton Cancer Pavilion,1,1133018.0,1.133018,0.3386285296782285
University of Arizona Cancer Center,1,1039824.0,1.039824,0.3107753559468025
University of Alabama at Birmingham,2,1020949.0,1.020949,0.30513412738937745
Ochsner Clinic Foundation,1,1002687.0,1.002687,0.29967610800311545
Oncology Hematology West,1,976448.0,0.976448,0.2918339784074453
University of Nebraska Medical Center (UNMC),1,941929.0,0.941929,0.281517180072412
University of Tennessee Medical Center,1,903304.0,0.903304,0.26997320905092637
University of New Mexico Comprehensive Cancer Center,1,876125.0,0.876125,0.2618501388012705
Our Lady of the Lake Hospital,1,800011.0,0.800011,0.23910171652737136
Vanderbilt University Medical Center,1,762849.0,0.762849,0.22799499675778048
St. Luke's Cancer Institute,1,730410.0,0.73041,0.2182998543379495
University of Arkansas for Medical Sciences,1,705830.0,0.70583,0.2109535551092604
University of Arkansas,1,705830.0,0.70583,0.2109535551092604
University of Wisconsin Carbone Cancer Center,1,666559.0,0.666559,0.1992165121064187
University Hospital and UW Health Clinics,1,666559.0,0.666559,0.1992165121064187
Georgia Cancer Center at Augusta University,1,587604.0,0.587604,0.17561899153680327
Augusta University Georgia Cancer Center,1,587604.0,0.587604,0.17561899153680327
Augusta University Medical Center,1,587604.0,0.587604,0.17561899153680327
University of Iowa,1,471008.0,0.471008,0.14077159101327874
University of Iowa and Holden Comprehensive Cancer Center,1,471008.0,0.471008,0.14077159101327874
Holden Comprehensive Cancer Center at the University of Iowa,1,471008.0,0.471008,0.14077159101327874
University of Iowa Hospital and Clinics,1,471008.0,0.471008,0.14077159101327874
University of Florida Health,1,450322.0,0.450322,0.1345891033873771
University of Florida Health Children's Hospital,1,450322.0,0.450322,0.1345891033873771
Texas Oncology - Tyler,1,403279.0,0.403279,0.12052921914753896
Local Institution - 0218,1,396252.0,0.396252,0.11842903832247802
Oncology Associates of Oregon,1,390022.0,0.390022,0.11656705930723256
University of Virginia,1,379616.0,0.379616,0.11345698649300398
Avera Cancer Institute,1,295821.0,0.295821,0.08841292042839852
Mayo Clinic - Rochester,1,245468.0,0.245468,0.07336376643888745
Mayo Clinic Rochester,1,245468.0,0.245468,0.07336376643888745
Mayo Clinic in Rochester,1,245468.0,0.245468,0.07336376643888745
Genesis Cancer and Blood Institute,1,227674.0,0.227674,0.06804561963354597
